Days,Survival,Mutant,Virus,TechRep,BiolRep
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
6,0,0,0,A,1
3,1,0,1,B,1
3,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
3,1,0,1,C,1
4,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
5,0,1,0,D,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
3,1,1,1,E,1
4,1,1,1,E,1
4,1,1,1,E,1
4,1,1,1,E,1
4,1,1,1,E,1
4,1,1,1,E,1
4,1,1,1,E,1
2,1,1,1,F,1
3,1,1,1,F,1
3,1,1,1,F,1
3,1,1,1,F,1
3,1,1,1,F,1
3,1,1,1,F,1
4,1,1,1,F,1
4,1,1,1,F,1
4,1,1,1,F,1
4,1,1,1,F,1
4,1,1,1,F,1
4,1,1,1,F,1
5,1,1,1,F,1
5,1,1,1,F,1
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
7,0,0,0,G,2
4,1,0,1,H,2
4,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
5,0,1,0,J,2
3,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
4,1,1,1,K,2
5,1,1,1,K,2
3,1,1,1,L,2
3,1,1,1,L,2
3,1,1,1,L,2
3,1,1,1,L,2
3,1,1,1,L,2
4,1,1,1,L,2
4,1,1,1,L,2
4,1,1,1,L,2
4,1,1,1,L,2
4,1,1,1,L,2
4,1,1,1,L,2
