"Days","Survival","Mutant","Virus","TechRep","BiolRep"
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
20,0,0,0,"A",1
2,1,0,1,"B",1
2,1,0,1,"B",1
5,1,0,1,"B",1
7,1,0,1,"B",1
7,1,0,1,"B",1
7,1,0,1,"B",1
7,1,0,1,"B",1
7,1,0,1,"B",1
8,1,0,1,"B",1
8,1,0,1,"B",1
8,1,0,1,"B",1
8,1,0,1,"B",1
8,1,0,1,"B",1
2,1,0,1,"C",1
6,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
7,1,0,1,"C",1
8,1,0,1,"C",1
8,1,0,1,"C",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
20,0,1,0,"D",1
5,1,1,1,"E",1
5,1,1,1,"E",1
6,1,1,1,"E",1
6,1,1,1,"E",1
6,1,1,1,"E",1
6,1,1,1,"E",1
7,1,1,1,"E",1
7,1,1,1,"E",1
7,1,1,1,"E",1
7,1,1,1,"E",1
7,1,1,1,"E",1
7,1,1,1,"E",1
8,1,1,1,"E",1
8,1,1,1,"E",1
3,1,1,1,"F",1
6,1,1,1,"F",1
6,1,1,1,"F",1
6,1,1,1,"F",1
6,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
7,1,1,1,"F",1
8,1,1,1,"F",1
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
20,0,0,0,"G",2
3,1,0,1,"H",2
3,1,0,1,"H",2
3,1,0,1,"H",2
6,1,0,1,"H",2
6,1,0,1,"H",2
6,1,0,1,"H",2
6,1,0,1,"H",2
6,1,0,1,"H",2
6,1,0,1,"H",2
7,1,0,1,"H",2
7,1,0,1,"H",2
7,1,0,1,"H",2
7,1,0,1,"H",2
7,1,0,1,"H",2
3,1,0,1,"I",2
3,1,0,1,"I",2
5,1,0,1,"I",2
6,1,0,1,"I",2
6,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
7,1,0,1,"I",2
8,1,0,1,"I",2
8,1,0,1,"I",2
2,1,1,0,"J",2
5,1,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
20,0,1,0,"J",2
5,1,1,1,"K",2
6,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
7,1,1,1,"K",2
3,1,1,1,"L",2
6,1,1,1,"L",2
6,1,1,1,"L",2
6,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,1,1,"L",2
7,1,0,0,"M",3
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
20,0,0,0,"M",NA
4,1,0,1,"N",NA
6,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
7,1,0,1,"N",NA
5,1,0,1,"O",NA
5,1,0,1,"O",NA
6,1,0,1,"O",NA
6,1,0,1,"O",NA
6,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
7,1,0,1,"O",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
20,0,1,0,"P",NA
