Days,Survival,Mutant,Virus,TechRep,BiolRep
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
16,0,0,0,A,1
6,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
6,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
7,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
8,1,0,1,B,1
5,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
6,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
7,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
8,1,0,1,C,1
2,1,1,0,D,1
10,1,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
11,0,1,0,D,1
5,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
7,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
8,1,1,1,E,1
11,1,1,1,E,1
7,1,1,1,F,1
7,1,1,1,F,1
8,1,1,1,F,1
8,1,1,1,F,1
8,1,1,1,F,1
8,1,1,1,F,1
8,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
9,1,1,1,F,1
10,1,1,1,F,1
6,1,0,0,G,2
6,1,0,0,G,2
13,1,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
19,0,0,0,G,2
6,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
7,1,0,1,H,2
8,1,0,1,H,2
8,1,0,1,H,2
8,1,0,1,H,2
9,1,0,1,H,2
9,1,0,1,H,2
9,1,0,1,H,2
6,1,0,1,I,2
7,1,0,1,I,2
7,1,0,1,I,2
8,1,0,1,I,2
8,1,0,1,I,2
8,1,0,1,I,2
9,1,0,1,I,2
9,1,0,1,I,2
9,1,0,1,I,2
9,1,0,1,I,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
13,0,1,0,J,2
2,1,1,1,K,2
6,1,1,1,K,2
8,1,1,1,K,2
8,1,1,1,K,2
9,1,1,1,K,2
9,1,1,1,K,2
9,1,1,1,K,2
9,1,1,1,K,2
9,1,1,1,K,2
10,1,1,1,K,2
10,1,1,1,K,2
12,1,1,1,K,2
2,1,1,1,L,2
7,1,1,1,L,2
9,1,1,1,L,2
9,1,1,1,L,2
9,1,1,1,L,2
9,1,1,1,L,2
9,1,1,1,L,2
9,1,1,1,L,2
10,1,1,1,L,2
11,1,1,1,L,2
12,1,1,1,L,2
12,1,1,1,L,2
13,1,1,1,L,2
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
2,1,0,1,N,3
2,1,0,1,N,3
7,1,0,1,N,3
7,1,0,1,N,3
8,1,0,1,N,3
9,1,0,1,N,3
9,1,0,1,N,3
9,1,0,1,N,3
10,1,0,1,N,3
10,1,0,1,N,3
10,1,0,1,N,3
11,1,0,1,N,3
11,1,0,1,N,3
5,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
7,1,0,1,O,3
8,1,0,1,O,3
8,1,0,1,O,3
9,1,0,1,O,3
9,1,0,1,O,3
9,1,0,1,O,3
10,1,0,1,O,3
10,1,0,1,O,3
13,1,0,1,O,3
14,1,0,1,O,3
9,1,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
15,0,1,0,P,3
4,1,1,1,Q,3
7,1,1,1,Q,3
9,1,1,1,Q,3
9,1,1,1,Q,3
9,1,1,1,Q,3
10,1,1,1,Q,3
10,1,1,1,Q,3
11,1,1,1,Q,3
11,1,1,1,Q,3
11,1,1,1,Q,3
14,1,1,1,Q,3
15,1,1,1,Q,3
8,1,1,1,R,3
9,1,1,1,R,3
9,1,1,1,R,3
9,1,1,1,R,3
9,1,1,1,R,3
10,1,1,1,R,3
12,1,1,1,R,3
12,1,1,1,R,3
13,1,1,1,R,3
13,1,1,1,R,3
14,1,1,1,R,3
15,1,1,1,R,3
