miRNA,WT,MT
miR-10,0.035596572,1.18E-05
miR-10,0.140917477,0.000600971
miR-10,0.081883391,0.00040054
miR-10,0.084566792,7.53E-06
miR-10,0.096562173,0.001358841
miR-1007,0.035596572,0.321563871
miR-1007,0.140917477,0.358157671
miR-1007,0.081883391,0.241312241
miR-1007,0.096562173,0.403082587
miR-1014,0.035596572,0.483218834
miR-1014,0.140917477,0.545415142
miR-1014,0.081883391,0.165057305
miR-1014,0.084566792,0.123515905
miR-1014,0.096562173,0.417433923
miR-11,0.035596572,0.310386817
miR-11,0.073008765,1.576697578
miR-11,0.140917477,2.613080435
miR-11,0.081883391,0.435367024
miR-11,0.084566792,0.089874801
miR-11,0.096562173,0.428813738
miR-133,0.112285462,0.181739579
miR-133,0.25445674,0.835346054
miR-133,0.202177898,1.015521446
miR-133,0.073254991,0.514426779
miR-133,0.258505435,0.5347654
miR-133,0.041116695,0.134973613
miR-137,0.035596572,0.030275278
miR-137,0.081883391,0.039314662
miR-137,0.084566792,0.134101573
miR-137,0.096562173,0.147854221
miR-137,0.140917477,0.096265854
miR-219,0.25445674,0.330135252
miR-219,0.202177898,0.058996953
miR-219,0.061764554,0.132493063
miR-219,0.030978056,0.150507872
miR-219,0.100969913,0.074622558
miR-263b,0.035596572,0.240959874
miR-263b,0.140917477,0.041104896
miR-263b,0.081883391,0.085405441
miR-263b,0.084566792,0.057825022
miR-263b,0.096562173,0.102505327
miR-274,0.112285462,0.164981053
miR-274,0.25445674,0.253391295
miR-274,0.061764554,0.044023231
miR-274,0.030978056,0.072916033
miR-274,0.100969913,0.06695314
miR-276b,0.25445674,0.366863909
miR-276b,0.061764554,0.147722994
miR-276b,0.030978056,0.090032206
miR-276b,0.100969913,0.193036776
miR-278,0.035596572,0.144339519
miR-278,0.140917477,0.137819298
miR-278,0.081883391,0.058128534
miR-278,0.084566792,0.014540835
miR-278,0.096562173,0.132630366
miR-282,0.112285462,0.619281055
miR-282,0.202177898,0.640224256
miR-282,0.061764554,0.212793233
miR-282,0.030978056,0.246506895
miR-282,0.100969913,0.180584028
miR-283,0.067115209,0.020051252
miR-283,0.180611281,0.132689838
miR-283,0.081883391,0.002374391
miR-283,0.084566792,0.001362382
miR-283,0.096562173,0.039617785
miR-285,0.127502344,0.389763364
miR-285,0.305316477,0.271720449
miR-285,0.081883391,0.133916758
miR-285,0.084566792,0.029167519
miR-285,0.096562173,0.29954674
miR-285,0.035374869,0.230794779
miR-2b-1,0.035596572,0.056674429
miR-2b-1,0.140917477,0.034746118
miR-2b-1,0.081883391,0.171669711
miR-2b-1,0.084566792,0.117203406
miR-2b-1,0.096562173,0.249774473
miR-304,0.073008765,0.001846961
miR-304,0.081883391,6.88E-05
miR-304,0.084566792,5.41E-05
miR-304,0.096562173,5.84E-06
miR-31a,0.035596572,0.261083287
miR-31a,0.140917477,0.232979053
miR-31a,0.081883391,0.101760323
miR-31a,0.084566792,0.076192293
miR-31a,0.096562173,0.184948435
miR-31b,0.073008765,0.007274348
miR-31b,0.140917477,0.013854617
miR-31b,0.081883391,0.004965781
miR-31b,0.084566792,3.35E-05
miR-31b,0.096562173,8.38E-05
miR-375,0.112285462,0.791537376
miR-375,0.25445674,0.624735756
miR-375,0.202177898,0.193648853
miR-375,0.073254991,0.080013284
miR-375,0.12494025,0.155251322
miR-375,0.041116695,0.049428612
miR-87,0.25445674,0.353457055
miR-87,0.202177898,0.19766644
miR-87,0.073254991,0.021706166
miR-87,0.12494025,0.429076288
miR-87,0.041116695,0.263697093
miR-92a,0.035596572,0.249882804
miR-92a,0.140917477,0.621630908
miR-92a,0.081883391,0.242212613
miR-92a,0.084566792,0.031072191
miR-92a,0.096562173,0.16507334
miR-932,0.25445674,0.284392483
miR-932,0.202177898,0.239944121
miR-932,0.073254991,0.029915482
miR-932,0.12494025,0.009313574
miR-932,0.041116695,0.09500966
miR-958,0.035596572,0.044372132
miR-958,0.140917477,0.037361304
miR-958,0.081883391,0.068005195
miR-958,0.084566792,0.166317615
miR-958,0.096562173,0.132973114
miR-965,0.112285462,2.327904735
miR-965,0.25445674,0.3197343
miR-965,0.202177898,2.261942277
miR-965,0.073254991,0.131803219
miR-965,0.12494025,0.524124725
miR-965,0.041116695,0.114953178
miR-966,0.112285462,2.493314119
miR-966,0.25445674,2.005418112
miR-966,0.202177898,0.592471207
miR-966,0.073254991,0.193245445
miR-966,0.12494025,0.535794592
miR-966,0.041116695,0.332168303
miR-967,0.173051163,0.352398711
miR-967,0.25445674,1.126521672
miR-967,0.067115209,1.074074918
miR-967,0.100632437,0.132614894
miR-967,0.041116695,0.022451558
miR-971,0.035596572,0.070048848
miR-971,0.073008765,0.051975362
miR-971,0.140917477,0.030840901
miR-971,0.084566792,0.035536263
miR-971,0.096562173,0.033005522
miR-986,0.112285462,0.008745859
miR-986,0.25445674,0.128696572
miR-986,0.202177898,0.053374104
miR-986,0.073254991,0.012257616
miR-986,0.12494025,0.169052588
miR-986,0.041116695,0.07874023
miR-988,0.073008765,0.004966675
miR-988,0.140917477,0.100027831
miR-988,0.081883391,0.021755194
miR-988,0.084566792,0.014706087
miR-989,0.096562173,0.021447625
miR-989,0.112285462,0.1370196
miR-989,0.25445674,0.183104652
miR-989,0.202177898,0.131296548
miR-989,0.073254991,0.062166199
miR-989,0.12494025,0.224472059
miR-989,0.041116695,0.042432382
miR-990,0.112285462,0.220161708
miR-990,0.25445674,0.236350716
miR-990,0.202177898,0.08817745
miR-990,0.073254991,0.126684945
miR-990,0.12494025,0.14670005
miR-990,0.041116695,0.018071964
miR-999,0.035374869,0.043448375
miR-999,0.127502344,0.188707123
miR-999,0.185538857,0.273669939
miR-999,0.081883391,0.007346858
miR-999,0.084566792,0.011848355
miR-999,0.096562173,0.031659154
miR-9c,0.112285462,0.220878507
miR-9c,0.25445674,0.050962319
miR-9c,0.202177898,0.119050416
miR-9c,0.258505435,0.57225171
miR-9c,0.12494025,0.08191161
miR-9c,0.041116695,0.21187774
