miRNA,WT,MT
miR-2b-1,0.06506,0.102892
miR-2b-1,0.141039,0.289552
miR-2b-1,0.150711,0.223789
miR-2b-1,0.162173,0.41642
miR-9c,0.205153,0.370748
miR-9c,0.410285,0.096775
miR-9c,0.349922,0.180821
miR-9c,0.215519,0.189314
miR-9c,0.072828,0.348738
miR-11,0.06506,0.513441
miR-11,0.147447,2.46426
miR-11,0.228617,3.804773
miR-11,0.141039,0.719639
miR-11,0.150711,0.167534
miR-11,0.162173,0.704568
miR-31a,0.06506,0.438664
miR-31a,0.228617,0.38087
miR-31a,0.141039,0.175596
miR-31a,0.150711,0.141349
miR-31a,0.162173,0.314958
miR-31b,0.06506,0.145986
miR-31b,0.147447,0.015181
miR-31b,0.141039,0.09666
miR-87,0.205153,0.355215
miR-87,0.410285,0.555024
miR-87,0.349922,0.345146
miR-92a,0.06506,0.437901
miR-92a,0.228617,1.025512
miR-92a,0.141039,0.402135
miR-92a,0.150711,0.057396
miR-92a,0.162173,0.277857
miR-124,0.147447,0.096333
miR-124,0.228617,0.148668
miR-124,0.141039,0.080727
miR-124,0.150711,0.010502
miR-124,0.162173,0.084025
miR-133,0.06506,0.331387
miR-133,0.147447,1.286412
miR-133,0.228617,1.636766
miR-133,0.141039,0.813417
miR-133,0.162173,0.234429
miR-137,0.06506,0.053806
miR-137,0.228617,0.16152
miR-137,0.141039,0.071381
miR-137,0.150711,0.239575
miR-137,0.162173,0.255584
miR-219,0.205153,1.528074
miR-219,0.410285,0.522361
miR-219,0.349922,0.118636
miR-219,0.110019,0.219383
miR-219,0.059741,0.259714
miR-219,0.169479,0.126656
miR-263b,0.06506,0.379581
miR-263b,0.228617,0.074426
miR-263b,0.141039,0.149255
miR-263b,0.150711,0.10685
miR-263b,0.162173,0.181518
miR-274,0.205153,0.29337
miR-274,0.410285,0.43343
miR-274,0.349922,0.05355
miR-274,0.110019,0.07572
miR-274,0.059741,0.128256
miR-274,0.169479,0.113282
miR-276b,0.205153,0.582319
miR-276b,0.410285,0.57049
miR-276b,0.349922,0.069529
miR-276b,0.110019,0.244722
miR-276b,0.059741,0.169946
miR-276b,0.169479,0.321518
miR-278,0.06506,0.241382
miR-278,0.147447,0.839307
miR-278,0.228617,0.230447
miR-278,0.141039,0.103308
miR-278,0.150711,0.027751
miR-278,0.162173,0.237934
miR-282,0.205153,1.080886
miR-282,0.349922,0.983641
miR-282,0.110019,0.349537
miR-282,0.059741,0.436899
miR-282,0.169479,0.302597
miR-283,0.141039,0.004665
miR-283,0.150711,0.002778
miR-283,0.06506,0.008937
miR-283,0.228617,0.002991
miR-285,0.141039,0.230574
miR-285,0.150711,0.053742
miR-285,0.162173,0.501814
miR-304,0.147447,0.004206
miR-304,0.228617,0.002706
miR-304,0.141039,0.00161
miR-375,0.205153,1.338103
miR-375,0.410285,1.003485
miR-375,0.349922,0.336374
miR-375,0.12372,0.135504
miR-375,0.215519,0.261961
miR-932,0.12372,0.052679
miR-932,0.215519,0.017699
miR-932,0.072828,0.166875
miR-932,0.205153,0.65748
miR-932,0.410285,0.489329
miR-932,0.349922,0.413796
miR-958,0.06506,0.08431
miR-958,0.147447,0.752819
miR-958,0.228617,0.070446
miR-958,0.141039,0.121329
miR-958,0.150711,0.294717
miR-958,0.162173,0.231229
miR-965,0.12372,0.219887
miR-965,0.215519,0.856867
miR-965,0.205153,1.688754
miR-965,0.410285,0.530463
miR-965,0.349922,1.527786
miR-966,0.205153,4.042308
miR-966,0.410285,3.117642
miR-966,0.349922,0.985806
miR-966,0.12372,0.310148
miR-966,0.215519,0.860329
miR-966,0.072828,0.523559
miR-967,0.072828,0.123735
miR-967,0.349922,0.921312
miR-967,0.410285,1.762207
miR-971,0.06506,0.12788
miR-971,0.147447,0.105682
miR-971,0.228617,0.056164
miR-971,0.150711,0.06581
miR-971,0.162173,0.061232
miR-986,0.12372,0.022858
miR-986,0.215519,0.278826
miR-986,0.072828,0.132666
miR-986,0.205153,0.017477
miR-986,0.410285,0.211257
miR-986,0.349922,0.093199
miR-988,0.147447,0.01162
miR-988,0.228617,0.167841
miR-988,0.141039,0.041233
miR-988,0.150711,0.029499
miR-988,0.162173,0.042042
miR-989,0.12372,0.107656
miR-989,0.215519,0.377604
miR-989,0.072828,0.076151
miR-989,0.205153,0.236587
miR-989,0.410285,0.321135
miR-989,0.349922,0.224713
miR-990,0.205153,0.359278
miR-990,0.410285,0.382619
miR-990,0.349922,0.153414
miR-990,0.12372,0.211858
miR-990,0.215519,0.250094
miR-990,0.072828,0.032931
miR-999,0.141039,0.014191
miR-999,0.150711,0.025728
miR-999,0.162173,0.058996
miR-1007,0.06506,0.524135
miR-1007,0.228617,0.584671
miR-1007,0.141039,0.399162
miR-1007,0.150711,0.136813
miR-1007,0.162173,0.687416
miR-1014,0.06506,0.769486
miR-1014,0.228617,0.887306
miR-1014,0.141039,0.278979
miR-1014,0.150711,0.227802
miR-1014,0.162173,0.680399
