miRNA,WT,MT
31b,32.15973411,2.180561589
31b,6.143548819,0.852352948
31b,21.83927863,3.626857237
31b,17.24302649,3.937515778
137,32.15973411,138.944002
137,6.143548819,139.1034526
137,17.24302649,164.7693704
274,32.15973411,34.03589616
274,6.143548819,28.67369319
274,21.83927863,14.91570971
274,17.24302649,38.07214423
276b,32.15973411,37.09247481
276b,6.143548819,22.18698732
276b,21.83927863,16.89868811
276b,17.24302649,15.65163492
283,32.15973411,17.14485048
283,6.143548819,16.94700225
283,21.83927863,11.67396025
283,17.24302649,11.90040763
304,32.15973411,1.038277211
304,6.143548819,1.254174534
304,21.83927863,1.974778362
304,17.24302649,2.672918336
