miRNA,WT,MT
31b,8.690593407,0.754464714
31b,22.5800737,1.241251811
31b,21.23617783,0.368694407
31b,24.36951964,0.397030626
137,8.690593407,35.28311303
137,22.5800737,15.7672911
137,21.23617783,6.817496719
137,24.36951964,31.3769093
274,8.690593407,2.795271094
274,22.5800737,2.553721586
274,21.23617783,9.170499857
274,24.36951964,7.317052358
276b,8.690593407,2.239887878
276b,22.5800737,9.471976804
276b,21.23617783,1.768018865
276b,24.36951964,1.444638825
283,8.690593407,1.672312363
283,22.5800737,3.281790275
283,21.23617783,7.560003874
283,24.36951964,7.72356805
304,8.690593407,0.253443892
304,22.5800737,0.140581575
304,21.23617783,1.357583157
304,24.36951964,0.206137397
