miRNA,DCV_tau,DCV_RMST_diff,DCV_p_value,FHV_tau,FHV_RMST_diff,FHV_p_value,SINV_log2_fold_change,SINV_padj
miR-10,14,2.036253976,1.11E-16,14,-0.853046987,0.005891244,-7.529037232,0.030093117
miR-1007,7,0.103667838,0.512424551,8,-0.208391497,0.216494127,1.899303129,0.030093117
miR-1014,7,0.333225478,0.000416912,14,-1.389217155,2.78E-09,1.980615461,0.119892382
miR-11,7,-0.444570199,1.27E-06,14,-1.929247132,0,3.411650087,0.24674639
miR-133,8,-0.789983283,1.33E-07,5,-0.585134279,1.41E-07,1.772125703,0.098885631
miR-137,8,-3.481054279,0,9,-1.616896507,5.00E-15,0.026942022,0.953770146
miR-219,8,-0.56051807,7.88E-05,8,-1.119513473,7.22E-15,0.199426294,0.875834873
miR-263b,8,-0.181390691,0.272345216,8,-0.321122082,0.096027468,0.264043042,0.875834873
miR-274,8,-1.526975891,1.11E-16,8,-1.851797217,0,0.103799994,0.851654626
miR-276b,8,0.9983293,2.16E-05,9,0.646048581,1.20E-08,0.831722783,0.027487863
miR-278,11,0.754887661,0.004863708,9,0.236188141,0.276966517,0.149329714,0.875834873
miR-282,8,-0.398087687,0.02679958,8,-0.844064994,2.38E-05,1.902135944,0.104119243
miR-283,8,0.718821102,0.000147686,8,0.416088465,0.033606615,-1.381028275,0.013706773
miR-285,9,-1.249394114,4.27E-11,9,-1.169692384,8.16E-09,0.889846703,0.252382319
miR-2b-1,7,-0.623884905,0.000181724,8,0.066511249,0.703260426,0.519558014,0.638988111
miR-304,14,2.818313722,0,15,1.425039418,4.69E-06,-7.41004348,0.013706773
miR-31a,8,-0.289202883,0.126758021,5,-0.071979158,0.504760337,0.963283735,0.252382319
miR-31b,14,5.294482115,0,19,3.124488178,6.77E-15,-4.185501669,0.013706773
miR-375,7,-0.684124018,5.70E-05,8,0.229448809,0.265803531,1.229063424,0.281204403
miR-87,8,-0.728089337,0.000316862,8,0.301212508,0.239453769,0.862776509,0.270549078
miR-92a,8,0.322839818,0.025494565,8,-0.302918632,0.193019817,1.575403936,0.252382319
miR-932,8,-0.062353948,0.754464599,9,0.655498887,0.001143684,-0.07962811,0.908156053
miR-957,7,-1.364781611,0,8,0.341474027,0.053527821,,
miR-958,7,0.207235859,0.21076633,9,0.137923337,0.553543896,0.03085994,0.953770146
miR-965,8,-2.581824223,0,8,-0.033864231,0.862594382,2.813166939,0.252382319
miR-966,8,-0.131819376,0.537736291,8,-0.228778667,0.273798676,2.928310623,0.202392582
miR-967,7,-3.006984831,0,8,0.422992381,0.010643208,2.08931782,0.252382319
miR-971,9,-0.055545998,0.750803007,5,0.111229264,0.312772124,-0.959821634,0.269134517
miR-986,9,-1.495508539,2.22E-16,8,-1.651695968,0,-0.842067716,0.255320839
miR-988,8,0.346251492,0.106223816,8,-0.19953742,0.188835769,-1.427076634,0.023778078
miR-989,9,-0.318081554,0.19537485,9,-1.096603279,1.89E-06,-0.174097077,0.815263019
miR-990,9,-3.117104176,0,9,0.053550378,0.818237661,0.048986775,0.94347581
miR-999,9,-0.413898496,0.013081061,6,-0.013189938,0.922847245,-0.135335882,0.875834873
miR-9c,9,0.311967869,0.09483242,8,0.233487267,0.231035085,0.339340518,0.815797772
