miRNA,DCV_tau,DCV_RMST_diff,DCV_RMST_diff_lower_CI,DCV_RMST_diff_upper_CI,DCV_p_value,FHV_tau,FHV_RMST_diff,FHV_RMST_diff_lower_CI,FHV_RMST_diff_upper_CI,FHV_p_value,SINV_mean_WT_log,SINV_mean_MT_log,SINV_t_statistic,SINV_p_value,SINV_log2_fold_change,SINV_conf_low_log2,SINV_conf_high_log2
miR-10,14,2.268148148,1.616876522,2.919419775,8.74E-12,14,-0.847141001,-1.452028363,-0.242253638,0.006052613,No qPCR Signal,,,,,,
miR-1007,7,0.039212008,-0.271003608,0.349427624,0.804332324,8,-0.260625,-0.590857409,0.069607409,0.121902625,0.138306215,0.373820887,-3.387523633,0.027593,-0.33977585,-0.618259219,-0.06129248
miR-1014,7,0.370551975,0.121373167,0.619730784,0.003560899,14,-1.363219094,-1.842985229,-0.88345296,2.56E-08,0.138306215,0.435231694,-3.379874226,0.027788687,-0.428372917,-0.78026586,-0.076479974
miR-11,7,-0.40947351,-0.649559368,-0.169387653,0.000829447,14,-1.923684211,-2.387908474,-1.459459947,4.59E-16,0.138178425,0.742802439,-2.876057838,0.03474772,-0.872288067,-1.651927416,-0.092648718
miR-124,7,-0.118250781,-0.439256171,0.202754609,0.470291835,14,-2.089537869,-2.605751844,-1.573323894,2.13E-15,0.153207883,0.07986723,4.952016202,0.007750058,0.105808196,0.046484753,0.165131638
miR-133,8,-0.779069767,-1.089940847,-0.468198688,9.02E-07,5,-0.57037562,-0.801706131,-0.339045109,1.35E-06,0.137738107,0.577715925,-3.285392144,0.030346547,-0.634753816,-1.171176577,-0.098331055
miR-137,8,-3.636538462,-3.981579077,-3.291497846,8.46E-95,9,-1.622872442,-2.023340843,-1.222404041,1.98E-15,0.138306215,0.142691143,-0.143599094,0.892760863,-0.006326115,-0.128639634,0.115987405
miR-219,8,-0.580246914,-0.864294806,-0.296199021,6.23E-05,8,-1.158536585,-1.448561236,-0.868511934,4.91E-15,0.191567529,0.334718985,-1.100973233,0.321065351,-0.206523895,-0.688721426,0.275673635
miR-263b,8,-0.243522267,-0.552966108,0.065921574,0.1229696,8,-0.426339286,-0.797528757,-0.055149814,0.024374936,0.138306215,0.160199699,-0.337078205,0.753002415,-0.031585622,-0.29175001,0.228578767
miR-274,8,-1.550865801,-1.907507278,-1.194224324,1.56E-17,8,-1.873239437,-2.239797347,-1.506681526,1.30E-23,0.191567529,0.161743749,0.623228571,0.560457255,0.04302662,-0.134441892,0.220495132
miR-276b,8,1.026760563,0.568428972,1.485092155,1.13E-05,9,0.63591954,0.393550703,0.878288378,2.71E-07,0.191567529,0.272024735,-1.182302559,0.290241711,-0.116075212,-0.368447863,0.136297439
miR-278,11,0.663991081,0.109513637,1.218468526,0.018921587,9,0.273168103,-0.138530812,0.684867019,0.193441966,0.138178425,0.228686897,-1.069500054,0.333734138,-0.130576125,-0.444420535,0.183268286
miR-282,8,-0.39695122,-0.76515294,-0.028749499,0.034600801,8,-0.828827505,-1.23122232,-0.426432691,5.41E-05,0.161122673,0.468867333,-4.051049302,0.015462337,-0.443981695,-0.748270957,-0.139692433
miR-283,8,0.672156013,0.317165927,1.027146099,0.000206365,8,0.378855519,-0.005629119,0.763340158,0.053449824,0.135309886,0.004828035,4.283515718,0.023377981,0.18824552,0.048388146,0.328102895
miR-285,9,-1.247828523,-1.665735059,-0.829921988,4.85E-09,9,-1.178095238,-1.57794013,-0.778250346,7.70E-09,0.140870264,0.222167359,-0.817339149,0.499613176,-0.117286916,-0.73471099,0.500137159
miR-2b-1,7,-0.571153846,-0.887921005,-0.254386688,0.00040939,8,0.041193182,-0.304453825,0.386840189,0.815308979,0.121410482,0.225578759,-2.878309689,0.063616766,-0.150283057,-0.316445775,0.01587966
miR-304,14,2.842105263,2.359026075,3.325184452,9.20E-31,15,1.380211893,0.707155307,2.05326848,5.84E-05,0.158455957,0.002836077,6.538830123,0.022598571,0.22451203,0.076779595,0.372244465
miR-31a,8,-0.339265673,-0.745262978,0.066731632,0.10146028,5,-0.061969904,-0.278942137,0.155002329,0.575623018,0.138306215,0.250843903,-2.108995725,0.102606589,-0.162357565,-0.376097622,0.051382492
miR-31b,14,5.271929825,4.723789432,5.820070217,2.90E-79,19,3.161373261,2.354781388,3.967965133,1.57E-14,0.11083662,0.081200507,0.522516759,0.653424198,0.042755874,-0.309316427,0.394828175
miR-375,7,-0.676996945,-1.007042018,-0.346951871,5.81E-05,8,0.232501434,-0.171862145,0.636865014,0.259766861,0.228452182,0.438786305,-1.606356573,0.183470375,-0.303447995,-0.827930987,0.221034997
miR-87,8,-0.709243697,-1.113126115,-0.30536128,0.000577807,8,0.002214839,-0.354722958,0.359152637,0.990296528,0.276815051,0.347317883,-1.882296008,0.200508257,-0.101714086,-0.334217575,0.130789403
miR-92a,8,0.214715719,-0.1017715,0.531202938,0.18361503,8,-0.260027985,-0.68743504,0.16737907,0.233099568,0.138306215,0.341599346,-2.074845576,0.106643308,-0.293289993,-0.685754654,0.099174668
miR-932,8,-0.085177921,-0.483340833,0.312984991,0.675004332,9,0.668290043,0.26919552,1.067384567,0.001030771,0.202093177,0.24551902,-0.639726722,0.550507237,-0.062650248,-0.314394601,0.189094105
miR-957,7,-1.399812383,-1.668947987,-1.130676779,2.11E-24,8,0.328510802,-0.016985821,0.674007426,0.062377152,No qPCR Signal,,,,,,
miR-958,7,0.112576313,-0.244131967,0.469284592,0.536206177,9,0.095738636,-0.345666663,0.537143935,0.670759011,0.138178425,0.21517736,-0.991880913,0.36679916,-0.111085982,-0.398979017,0.176807053
miR-965,8,-2.455840456,-2.776899573,-2.134781338,8.27E-51,8,-0.018019481,-0.400970927,0.364931966,0.926519616,0.228452182,0.631928181,-2.796037068,0.049009187,-0.582092823,-1.160106893,-0.004078752
miR-966,8,-0.147800504,-0.578301304,0.282700296,0.50101139,8,-0.213664786,-0.624594796,0.197265225,0.308159525,0.202093177,0.838518661,-3.126541763,0.026058961,-0.91816789,-1.673067673,-0.163268106
miR-967,7,-2.98467433,-3.230885122,-2.738463537,8.76E-125,8,0.463450292,0.122367959,0.804532626,0.007741798,0.238045592,0.595232081,-1.976814924,0.186695416,-0.515311176,-1.636915939,0.606293588
miR-971,9,-0.074949147,-0.452359328,0.302461033,0.697109414,5,0.1124487,-0.104954552,0.329851953,0.31069579,0.139426259,0.07972223,1.729224069,0.158826641,0.086134707,-0.052163325,0.224432739
miR-986,9,-1.50113443,-1.899407235,-1.102861624,1.50E-13,8,-1.646341463,-2.022092871,-1.270590056,8.89E-18,0.202093177,0.115201707,1.86154371,0.121729043,0.125357893,-0.047747214,0.298463
miR-988,8,0.356623932,-0.060188046,0.77343591,0.093553566,8,-0.191969697,-0.498896315,0.114956921,0.220245688,0.153207883,0.055473973,7.540963623,0.001656421,0.141000227,0.089086518,0.192913935
miR-989,9,-0.371481028,-0.862814575,0.119852519,0.138376518,9,-1.062037037,-1.520225817,-0.603848258,5.55E-06,0.202093177,0.198255921,0.1209432,0.908445985,0.00553599,-0.112128465,0.123200446
miR-990,9,-3.091202017,-3.447929799,-2.734474235,1.08E-64,9,0.06097561,-0.398401954,0.520353173,0.794743158,0.202093177,0.203572217,-0.03715552,0.971798818,-0.002133804,-0.149759694,0.145492087
